wallet,tx_count,total_value_eth_sent,total_value_eth_received,avg_gas,unique_recipients,unique_senders,contract_call_ratio,tx_frequency,tokens_sent_count,tokens_received_count,unique_tokens_sent,unique_tokens_received
0x0000000000000000000000000000000000000000,0.0,0.0,4.8559541595212004e-05,0.0,0.0,3.0,0.0,0.0,7683.0,4373.0,935.0,672.0
0x000000000000000000000000000000000000151f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
0x000000000000000000000000000000000000dead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,233.0,1.0,61.0
0x0000000000000000000000000000000000029e2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
0x0000000000000068f116a894984e2db1123eb395,0.0,0.0,63.45205669128147,0.0,0.0,1638.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000000000000040470635eb91b7ce4d132d616ed,0.0,0.0,0.07100000000000001,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000000000014aa86c5d3c41765bb24e11bd701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,757.0,12.0,14.0
0x0000000000001efe53a797754f094caf01bf92c7,35.0,8.104085539e-09,0.0,389404.7428571429,1.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0
0x0000000000001ff3684f28c67538d4d072c22734,0.0,0.0,264.22912783697564,0.0,0.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000000000006ac72ed1d192fa28f0058d3f8806,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0000000000007a8d56014359bf3e98f18b7773f9,0.0,0.0,8.104085539e-09,0.0,0.0,1.0,0.0,0.0,82.0,76.0,24.0,24.0
0x0000000000009710cd229bf635c4500029651ee8,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,107.0,79.0,16.0,16.0
0x000000000000fb114709235f1ccbffb925f600e4,0.0,0.0,25.180347036273496,0.0,0.0,210.0,0.0,0.0,657.0,196.0,4.0,3.0
0x000000000004444c5dc75cb358380d2e3de08a90,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19949.0,17401.0,469.0,501.0
0x000000000004598d17aad017bf0734a364c5588b,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000000000a0b40b4d032f76ce7f7ebc27f8d55,9.0,0.25,0.0,653576.1111111111,3.0,0.0,1.0,9.0,3.0,4.0,3.0,4.0
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0x000000000022d473030f116ddee9f6b43ac78ba3,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000000002b00d647a4c78670134888afbc6b5c,4.0,1.1,1.0997,254890.25,3.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0
0x000000000035b5e5ad9019092c665357240f594e,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,1.0,1.0
0x0000000000696760e15f265e828db644a0c242eb,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000000008835cef3e0d2333695f288ee6b63a6,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
0x00000000008892d085e0611eb8c8bdc9fd856fd3,0.0,0.0,1.5005000638839125,0.0,0.0,29.0,0.0,0.0,12.0,1.0,2.0,1.0
