wallet,pca1,pca2,umap1,umap2,km_cluster,db_cluster,hdb_cluster,archetype
0x0000000000000000000000000000000000000000,-5.927320857788452,16.556581290540834,12.853058,-8.083278,0,-1,-1,Casual ETH user
0x000000000000000000000000000000000000151f,-2.6414246308621205,-1.0199874293680111,-5.3615446,-0.19815005,0,0,2,Casual ETH user
0x000000000000000000000000000000000000dead,-3.662672054300743,4.474673520347297,10.581973,-8.437923,0,-1,-1,Casual ETH user
0x0000000000000000000000000000000000029e2c,-2.5772972458931274,-1.2653270523821414,-6.3203487,-11.796568,0,0,2,Casual ETH user
0x0000000000000068f116a894984e2db1123eb395,-2.234059871964497,-1.7197935198917942,3.648795,-0.8073069,1,-1,-1,Active DeFi user
0x000000000000040470635eb91b7ce4d132d616ed,-2.340986707858451,-2.7451013260563344,3.0993085,0.3926488,0,1,0,Casual ETH user
0x00000000000014aa86c5d3c41765bb24e11bd701,-4.419582403035238,7.984401884091024,13.177841,-8.245729,0,-1,-1,Casual ETH user
0x0000000000001efe53a797754f094caf01bf92c7,3.3174699090075683,-1.9445180049353976,3.7927408,3.8792696,2,2,4,Likely bot / MEV
0x0000000000001ff3684f28c67538d4d072c22734,-2.055906150039254,-1.270264930503658,3.685635,-0.8140015,1,-1,-1,Active DeFi user
0x0000000000006ac72ed1d192fa28f0058d3f8806,-2.3570589334382688,-2.771925513349417,26.76116,5.9031653,0,1,0,Casual ETH user
0x0000000000007a8d56014359bf3e98f18b7773f9,-4.08217298640976,6.778187443507699,13.047125,-8.3185005,0,-1,3,Casual ETH user
0x0000000000009710cd229bf635c4500029651ee8,-2.4132388942693694,-2.809922458103401,18.564407,-16.183893,0,1,0,Casual ETH user
0x000000000000c9b3e2c3ec88b1b4c0cd853f4321,-4.129097385769358,6.222028619000008,4.5457997,-1.4060236,0,-1,-1,Casual ETH user
0x000000000000fb114709235f1ccbffb925f600e4,-3.9239482046966017,6.233927551014474,4.140653,-1.1325544,1,-1,-1,Active DeFi user
0x000000000004444c5dc75cb358380d2e3de08a90,-6.107540489186388,16.877736476316436,12.84312,-8.076643,0,-1,-1,Casual ETH user
0x000000000004598d17aad017bf0734a364c5588b,-2.3216133245954484,-2.747952110359318,3.756364,-18.247393,0,1,0,Casual ETH user
0x00000000000a0b40b4d032f76ce7f7ebc27f8d55,1.9521817566906499,1.9427798711515842,9.406589,0.38144973,3,3,8,Token receiver / airdrop
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,-2.3216133245954484,-2.747952110359318,3.1946204,-18.265177,0,1,0,Casual ETH user
0x000000000022d473030f116ddee9f6b43ac78ba3,-2.526537139580684,-2.8865509766023694,16.743593,-4.6507688,0,1,0,Casual ETH user
0x00000000002b00d647a4c78670134888afbc6b5c,1.7087605182639043,0.27193649903615247,12.727027,-3.821609,3,3,7,Token receiver / airdrop
0x000000000035b5e5ad9019092c665357240f594e,-2.916529035581609,0.28531622772798937,12.463764,-11.320167,0,4,3,Casual ETH user
0x0000000000696760e15f265e828db644a0c242eb,-2.371770190292809,-2.781875374575632,-3.823179,3.226983,0,1,0,Casual ETH user
0x00000000008835cef3e0d2333695f288ee6b63a6,-2.4907806653179296,-2.862367321842557,9.302393,8.799733,0,1,0,Casual ETH user
0x00000000008892d085e0611eb8c8bdc9fd856fd3,-2.919013661072015,0.48834512650316475,3.7907588,-1.281296,0,-1,-1,Casual ETH user
0x00000000008c57a1ce37836a5e9d36759d070d8c,-2.3216133245954484,-2.747952110359318,3.7542448,-18.247099,0,1,0,Casual ETH user
0x00000000008d5f1200332af8a6813cb8377b5bfd,-4.176393795831678,7.121443884131442,12.9759245,-8.349536,0,-1,-1,Casual ETH user
0x00000000009239387124ca3c7feb2852d2934d06,2.2654825470704627,-2.122683194743102,20.214403,-0.8968247,2,2,4,Likely bot / MEV
0x00000000009726632680fb29d3f7a9734e3010e2,-3.9802778823421554,6.20438680544114,13.025021,-8.404797,0,-1,-1,Casual ETH user
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,-4.345871349967784,8.293719049106045,12.96901,-8.179734,0,-1,-1,Casual ETH user
0x0000000000a39bb272e79075ade125fd351887ac,-2.0402165686681832,-1.6140740441289476,3.5977066,-0.77416676,1,-1,-1,Active DeFi user
0x0000000000b12b7895f5eeb5ca60c1edcb5a4e08,-3.3133172923743683,2.920718112297425,14.018784,-7.435219,0,4,3,Casual ETH user
0x0000000000bbf5c5fd284e657f01bd000933c96d,-3.387012750996743,2.7380788771189697,13.139431,-9.927132,0,4,3,Casual ETH user
0x0000000000c2d145a2526bd8c716263bfebe1a72,-2.435832985900209,-2.8252038224682585,9.059361,15.922359,0,1,0,Casual ETH user
0x0000000000d8244d1f199db6dfe2d50351320b20,-3.9218642503658483,5.583707723271736,13.03658,-8.596268,0,-1,3,Casual ETH user
0x0000000000e603aeba77fc6ff5ca50a869783b36,-2.952539266761271,0.8776577329482563,13.668971,-10.34652,0,4,3,Casual ETH user
0x0000000000efa780a8e6f50fc5de9c1497bfd175,-3.928711235874983,5.980511439760049,13.036405,-8.419714,0,-1,-1,Casual ETH user
0x00000000075d9aed2e32de0aec3d7fe316514e79,-2.756625942944872,-0.3972255716933266,-0.5158278,8.441043,0,4,3,Casual ETH user
0x00000000219ab540356cbb839cbe05303d7705fa,-1.836367712417268,-1.2378869810535134,3.6840827,-0.83327067,1,-1,-1,Active DeFi user
0x0000000025e904c59afdb33d50f982d46a7ff880,-2.5846264534566843,-1.4200182072446765,-1.7986789,0.5134604,0,5,1,Casual ETH user
0x000000002b0184b12e908bf97941f2f5385c9820,-2.817307537328754,0.12818585943704575,14.217137,-18.266483,0,4,3,Casual ETH user
0x000000003d55f1535a0116376858e6008de1435a,-2.4773016898767697,-2.853250905996027,9.389589,8.851009,0,1,0,Casual ETH user
0x000000006feee0b7a0564cd5ceb283e10347c4db,-2.8099263351204034,0.4763852324171212,6.994247,14.994816,0,5,1,Casual ETH user
0x0000000071727de22e5e9d8baf0edac6f37da032,-2.4827629880007294,-2.8455966237383525,9.317971,8.816189,0,1,0,Casual ETH user
0x00000000a991c429ee2ec6df19d40fe0c80088b8,-3.013325300303173,0.9488957693429033,13.20955,-10.823378,0,4,3,Casual ETH user
0x00000000ae2193c4ac6521146b1adafe9b43361d,-3.705368456830152,4.794409801807055,13.44706,-8.177496,0,4,3,Casual ETH user
0x00000000efe302beaa2b3e6e1b18d08d69a9012a,-2.371770190292809,-2.781875374575632,-2.6439807,18.73693,0,1,0,Casual ETH user
0x00000000f06f144f74cfcf1f821b9c02961608c8,-3.013325300315787,0.9488957693045522,13.190655,-10.802552,0,4,3,Casual ETH user
0x00000000f93f6960b7678068a49bce0379e35c55,-3.374645967010493,2.796767311274516,13.247747,-9.506437,0,4,3,Casual ETH user
0x00000000fd3a7b3fa5bcfa843c648714b11e089b,3.1309855178383144,2.483986426249509,11.215192,0.18681665,3,-1,-1,Token receiver / airdrop
0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,-3.261314420928219,2.4287750806031156,13.422918,-9.576878,0,4,3,Casual ETH user
0x00000000fff16d2b960b3ef2686e40ba99403835,2.2685444885425303,-2.10982800722209,16.781694,2.5262318,2,2,4,Likely bot / MEV
0x0000000aa232009084bd71a5797d089aa4edfad4,-4.1751195826420915,5.804289359865506,13.682961,-8.910407,0,-1,-1,Casual ETH user
0x00000027f490acee7f11ab5fdd47209d6422c5a7,3.530245372911114,-1.9109420492048528,3.720691,3.6855202,2,2,4,Likely bot / MEV
0x0000002b14f3372a7e8c6c54f1ee29b09f0a0b31,1.7893558300622505,1.2081749527059482,8.579383,0.8102579,3,3,8,Token receiver / airdrop
0x0000004886c40e87f7c6dde647bceb2fbb64e6fe,1.7115072967862017,-2.2138159749317965,17.204197,11.783941,2,2,4,Likely bot / MEV
0x00000073089833164a3d37aaaf018ae6febfdf96,1.5997589756786932,-2.214147744596992,20.817026,-3.8978603,2,2,4,Likely bot / MEV
0x0000007ac1a9553d4bca454634cb435f1999544b,1.8796760921669031,-2.1708441729810293,21.388817,-1.8663557,2,2,4,Likely bot / MEV
0x0000008710942ee96cc81659c46fabfdb478887b,2.149968404616503,-2.1230261496334553,20.278711,-1.3225334,2,2,4,Likely bot / MEV
0x00000098b659009dd920c3b88847495846cc225a,-2.9474207967411443,0.4146574518819805,12.474,-11.260627,0,4,3,Casual ETH user
0x000000dc68934ed27fd11e32491cdf6717acaf21,-2.3570589334382688,-2.771925513349417,26.745302,5.8774977,0,1,0,Casual ETH user
0x000000de56001f487d4cbba41de461a333b62012,-2.880867110550357,0.1360027544543846,12.374476,-11.567761,0,4,3,Casual ETH user
0x000000fa00b200406de700041cfc6b19bbfb4d13,-2.377793285426549,-2.785949055113302,26.574436,-10.135668,0,1,0,Casual ETH user
0x00000688768803bbd44095770895ad27ad6b0d95,-3.7143941151759425,4.586978359916469,13.042706,-8.866067,0,-1,3,Casual ETH user
0x000006baa0aec9cf365f708e59507aa63f100000,1.6576885513518724,-0.1511143766059974,9.708614,2.1328592,3,3,8,Token receiver / airdrop
0x000006c2a22ff4a44ff1f5d0f2ed65f781f55555,-2.4039154796079814,-2.8036166282920862,26.071712,-7.549533,0,1,0,Casual ETH user
0x00000961ef480eb55e80d19ad83579a64c007002,-2.3477355187768802,-2.765619683538102,-0.97569007,13.29421,0,1,0,Casual ETH user
0x00000b7a7a859f1b7ab55579fd4e7b0b22064f3d,0.7174704830523362,0.1510165121963063,17.432388,-2.2463543,3,3,8,Token receiver / airdrop
0x00000c771f6176268d5a9846e0956c3ef58597a1,-0.059882773089103725,0.6186757924949258,16.660965,-10.124912,3,3,8,Token receiver / airdrop
